,Time [s],timestamp,utcdate,temperature,dewPoint,pressure,cloudCover,windSpeed,windBearing,humidity,Trust,DirectNormIrr,DiffuseHorIrr
2016-01-01 00:00:00+01:00,0,1451602800,2015-12-31 23:00:00,4.49,3.93,1027.33,0.75,0.11,56,0.96,1,0.0,0.0
2016-01-01 01:00:00+01:00,3600,1451606400,2016-01-01 00:00:00,4.49,3.94,1027.34,0.79,0.04,32,0.96,1,0.0,0.0
2016-01-01 02:00:00+01:00,7200,1451610000,2016-01-01 01:00:00,4.64,4.11,1027.43,0.75,0.37,265,0.96,1,0.0,0.0
2016-01-01 03:00:00+01:00,10800,1451613600,2016-01-01 02:00:00,4.72,4.15,1027.74,0.71,0.13,246,0.96,1,0.0,0.0
2016-01-01 04:00:00+01:00,14400,1451617200,2016-01-01 03:00:00,4.7,4.14,1028.36,0.49,0.11,285,0.96,1,0.0,0.0
2016-01-01 05:00:00+01:00,18000,1451620800,2016-01-01 04:00:00,4.75,4.27,1028.6,0.68,0.23,181,0.97,1,0.0,0.0
2016-01-01 06:00:00+01:00,21600,1451624400,2016-01-01 05:00:00,4.61,4.08,1028.77,0.75,0.37,140,0.96,1,0.0,0.0
2016-01-01 07:00:00+01:00,25200,1451628000,2016-01-01 06:00:00,3.78,3.23,1028.95,0.5,0.21,177,0.96,1,0.0,0.0
2016-01-01 08:00:00+01:00,28800,1451631600,2016-01-01 07:00:00,3.21,2.8,1028.87,0.68,0.35,334,0.97,1,0.0,
2016-01-01 09:00:00+01:00,32400,1451635200,2016-01-01 08:00:00,3.83,3.28,1028.76,0.78,0.46,14,0.96,1,8.055546360593581,41.4398786645337
2016-01-01 10:00:00+01:00,36000,1451638800,2016-01-01 09:00:00,4.1,3.64,1028.29,1.0,0.57,48,0.97,1,0.0,63.47485854133536
2016-01-01 11:00:00+01:00,39600,1451642400,2016-01-01 10:00:00,4.5,3.88,1028.06,0.88,0.89,36,0.96,1,24.449218636658788,117.28736028057354
2016-01-01 12:00:00+01:00,43200,1451646000,2016-01-01 11:00:00,4.65,3.99,1027.21,1.0,1.06,31,0.95,1,0.0,109.53022118928374
2016-01-01 13:00:00+01:00,46800,1451649600,2016-01-01 12:00:00,5.07,4.16,1026.04,1.0,1.32,49,0.94,1,0.0,109.28825721305272
2016-01-01 14:00:00+01:00,50400,1451653200,2016-01-01 13:00:00,5.38,4.23,1025.05,0.78,1.38,37,0.92,1,44.42645388116033,131.28903386312703
2016-01-01 15:00:00+01:00,54000,1451656800,2016-01-01 14:00:00,5.3,4.19,1024.59,0.66,1.34,21,0.93,1,42.18244677668603,100.44499518214843
2016-01-01 16:00:00+01:00,57600,1451660400,2016-01-01 15:00:00,4.98,3.76,1024.4,0.8,1.3,28,0.92,1,6.858725252056058,38.84609665391216
2016-01-01 17:00:00+01:00,61200,1451664000,2016-01-01 16:00:00,4.77,3.6,1023.88,0.88,1.17,42,0.92,1,0.0,
2016-01-01 18:00:00+01:00,64800,1451667600,2016-01-01 17:00:00,4.61,3.49,1023.28,0.88,1.82,55,0.92,1,0.0,0.0
2016-01-01 19:00:00+01:00,68400,1451671200,2016-01-01 18:00:00,4.52,3.33,1022.39,0.89,1.2,47,0.92,1,0.0,0.0
2016-01-01 20:00:00+01:00,72000,1451674800,2016-01-01 19:00:00,4.64,3.33,1021.85,0.88,1.22,59,0.91,1,0.0,0.0
2016-01-01 21:00:00+01:00,75600,1451678400,2016-01-01 20:00:00,4.54,3.28,1021.28,0.78,1.09,31,0.92,1,0.0,0.0
2016-01-01 22:00:00+01:00,79200,1451682000,2016-01-01 21:00:00,4.44,3.29,1020.94,0.89,0.71,9,0.92,1,0.0,0.0
2016-01-01 23:00:00+01:00,82800,1451685600,2016-01-01 22:00:00,4.32,3.16,1020.78,1.0,0.47,329,0.92,1,0.0,0.0
2016-01-02 00:00:00+01:00,86400,1451689200,2016-01-01 23:00:00,4.24,3.18,1020.49,1.0,0.42,315,0.93,1,0.0,0.0
2016-01-02 01:00:00+01:00,90000,1451692800,2016-01-02 00:00:00,4.18,3.16,1019.52,1.0,0.51,95,0.93,1,0.0,0.0
2016-01-02 02:00:00+01:00,93600,1451696400,2016-01-02 01:00:00,4.13,3.11,1018.79,1.0,0.55,32,0.93,1,0.0,0.0
2016-01-02 03:00:00+01:00,97200,1451700000,2016-01-02 02:00:00,4.06,3.02,1018.02,1.0,0.58,66,0.93,1,0.0,0.0
2016-01-02 04:00:00+01:00,100800,1451703600,2016-01-02 03:00:00,4.06,3.01,1017.88,0.97,0.49,326,0.93,1,0.0,0.0
2016-01-02 05:00:00+01:00,104400,1451707200,2016-01-02 04:00:00,4.08,3.04,1017.62,1.0,0.43,282,0.93,1,0.0,0.0
2016-01-02 06:00:00+01:00,108000,1451710800,2016-01-02 05:00:00,4.04,2.98,1017.31,1.0,0.08,5,0.93,1,0.0,0.0
2016-01-02 07:00:00+01:00,111600,1451714400,2016-01-02 06:00:00,3.98,3.16,1016.97,0.89,0.27,54,0.94,1,0.0,0.0
2016-01-02 08:00:00+01:00,115200,1451718000,2016-01-02 07:00:00,3.86,3.08,1016.01,0.88,0.63,56,0.95,1,0.0,
2016-01-02 09:00:00+01:00,118800,1451721600,2016-01-02 08:00:00,3.91,3.12,1015.8,0.78,0.45,36,0.95,1,8.071592549942686,41.52072181745621
2016-01-02 10:00:00+01:00,122400,1451725200,2016-01-02 09:00:00,4.15,3.38,1015.51,0.77,0.16,3,0.95,1,29.215086946744712,93.59109052394314
2016-01-02 11:00:00+01:00,126000,1451728800,2016-01-02 10:00:00,4.42,3.56,1015.09,0.75,0.55,21,0.94,1,51.121280672572226,136.2566960296897
2016-01-02 12:00:00+01:00,129600,1451732400,2016-01-02 11:00:00,4.96,3.97,1014.38,0.78,0.73,3,0.93,1,54.35157547993389,154.01726775452696
2016-01-02 13:00:00+01:00,133200,1451736000,2016-01-02 12:00:00,5.16,4.01,1014.09,0.89,0.84,307,0.92,1,27.14412183892259,135.08060022801365
2016-01-02 14:00:00+01:00,136800,1451739600,2016-01-02 13:00:00,5.21,4.24,1014.32,0.88,1.25,272,0.93,1,24.44051041628776,117.30930915372565
2016-01-02 15:00:00+01:00,140400,1451743200,2016-01-02 14:00:00,5.32,4.44,1014.1,0.85,1.19,184,0.94,1,18.878144967875055,84.43313334403324
2016-01-02 16:00:00+01:00,144000,1451746800,2016-01-02 15:00:00,5.49,4.52,1014.56,0.89,1.51,214,0.93,1,3.9202527958186177,34.027123919151194
2016-01-02 17:00:00+01:00,147600,1451750400,2016-01-02 16:00:00,5.55,4.23,1015.0,0.88,2.08,252,0.91,1,0.0,
2016-01-02 18:00:00+01:00,151200,1451754000,2016-01-02 17:00:00,5.17,4.03,1015.1,0.88,1.87,223,0.92,1,0.0,0.0
2016-01-02 19:00:00+01:00,154800,1451757600,2016-01-02 18:00:00,5.04,3.81,1015.16,0.89,1.39,207,0.92,1,0.0,0.0
2016-01-02 20:00:00+01:00,158400,1451761200,2016-01-02 19:00:00,5.03,4.01,1015.04,0.88,0.89,212,0.93,1,0.0,0.0
2016-01-02 21:00:00+01:00,162000,1451764800,2016-01-02 20:00:00,5.12,4.06,1015.23,0.88,1.51,215,0.93,1,0.0,0.0
2016-01-02 22:00:00+01:00,165600,1451768400,2016-01-02 21:00:00,5.27,4.04,1015.27,0.89,1.39,218,0.92,1,0.0,0.0
2016-01-02 23:00:00+01:00,169200,1451772000,2016-01-02 22:00:00,5.33,4.01,1015.1,0.88,1.27,221,0.91,1,0.0,0.0
2016-01-03 00:00:00+01:00,172800,1451775600,2016-01-02 23:00:00,5.26,3.9,1015.1,0.88,0.93,229,0.91,1,0.0,0.0
2016-01-03 01:00:00+01:00,176400,1451779200,2016-01-03 00:00:00,5.21,3.83,1015.05,0.89,1.08,226,0.91,1,0.0,0.0
2016-01-03 02:00:00+01:00,180000,1451782800,2016-01-03 01:00:00,5.1,3.72,1015.0,0.88,1.01,221,0.91,1,0.0,0.0
2016-01-03 03:00:00+01:00,183600,1451786400,2016-01-03 02:00:00,4.94,3.47,1014.89,0.85,1.26,223,0.9,1,0.0,0.0
2016-01-03 04:00:00+01:00,187200,1451790000,2016-01-03 03:00:00,4.96,3.37,1014.68,0.86,1.21,213,0.89,1,0.0,0.0
2016-01-03 05:00:00+01:00,190800,1451793600,2016-01-03 04:00:00,4.66,3.22,1014.55,0.88,0.93,196,0.9,1,0.0,0.0
2016-01-03 06:00:00+01:00,194400,1451797200,2016-01-03 05:00:00,4.69,3.02,1014.13,0.88,1.01,226,0.89,1,0.0,0.0
2016-01-03 07:00:00+01:00,198000,1451800800,2016-01-03 06:00:00,4.7,3.03,1013.72,0.89,1.32,227,0.89,1,0.0,0.0
2016-01-03 08:00:00+01:00,201600,1451804400,2016-01-03 07:00:00,4.69,2.91,1013.27,0.88,1.33,223,0.88,1,0.0,
2016-01-03 09:00:00+01:00,205200,1451808000,2016-01-03 08:00:00,4.46,2.89,1013.13,0.85,1.13,228,0.9,1,5.525553686147923,37.41761171520154
2016-01-03 10:00:00+01:00,208800,1451811600,2016-01-03 09:00:00,4.64,3.02,1012.68,0.88,0.67,220,0.89,1,15.299865460665988,81.56729096373269
2016-01-03 11:00:00+01:00,212400,1451815200,2016-01-03 10:00:00,5.49,2.97,1011.63,0.78,0.73,191,0.84,1,45.17693334987553,133.15457841456643
2016-01-03 12:00:00+01:00,216000,1451818800,2016-01-03 11:00:00,6.01,3.12,1010.59,0.75,1.03,209,0.82,1,62.077472302231435,158.75239198851955
2016-01-03 13:00:00+01:00,219600,1451822400,2016-01-03 12:00:00,6.53,2.72,1009.25,0.76,0.97,233,0.77,1,59.608632148394214,157.49098305160456
2016-01-03 14:00:00+01:00,223200,1451826000,2016-01-03 13:00:00,6.75,2.22,1007.65,0.54,0.65,184,0.73,1,94.53855785588662,150.8006776179859
2016-01-03 15:00:00+01:00,226800,1451829600,2016-01-03 14:00:00,6.51,1.91,1006.73,0.36,0.36,162,0.72,1,81.75623157012781,107.25472642033249
2016-01-03 16:00:00+01:00,230400,1451833200,2016-01-03 15:00:00,5.79,2.34,1005.62,0.41,0.4,121,0.79,1,21.867354714815217,53.88810167497894
2016-01-03 17:00:00+01:00,234000,1451836800,2016-01-03 16:00:00,4.34,2.14,1004.9,0.44,0.32,60,0.86,1,0.0,
2016-01-03 18:00:00+01:00,237600,1451840400,2016-01-03 17:00:00,3.65,1.88,1004.05,0.75,0.25,83,0.88,1,0.0,0.0
2016-01-03 19:00:00+01:00,241200,1451844000,2016-01-03 18:00:00,3.45,1.86,1003.0,0.87,0.12,21,0.89,1,0.0,0.0
2016-01-03 20:00:00+01:00,244800,1451847600,2016-01-03 19:00:00,3.01,1.64,1001.98,0.32,0.23,282,0.91,1,0.0,0.0
2016-01-03 21:00:00+01:00,248400,1451851200,2016-01-03 20:00:00,2.94,1.62,1000.76,1.0,0.15,313,0.91,1,0.0,0.0
2016-01-03 22:00:00+01:00,252000,1451854800,2016-01-03 21:00:00,3.03,1.75,1000.12,0.89,0.31,330,0.91,1,0.0,0.0
2016-01-03 23:00:00+01:00,255600,1451858400,2016-01-03 22:00:00,3.14,2.02,998.78,0.88,0.36,181,0.92,1,0.0,0.0
2016-01-04 00:00:00+01:00,259200,1451862000,2016-01-03 23:00:00,3.2,2.16,997.77,0.85,0.12,181,0.93,1,0.0,0.0
2016-01-04 01:00:00+01:00,262800,1451865600,2016-01-04 00:00:00,3.21,2.11,997.45,0.85,1.18,237,0.92,1,0.0,0.0
2016-01-04 02:00:00+01:00,266400,1451869200,2016-01-04 01:00:00,2.44,1.28,997.16,0.85,1.3,209,0.92,1,0.0,0.0
2016-01-04 03:00:00+01:00,270000,1451872800,2016-01-04 02:00:00,1.99,0.96,997.28,0.88,1.11,213,0.93,1,0.0,0.0
2016-01-04 04:00:00+01:00,273600,1451876400,2016-01-04 03:00:00,2.04,1.01,996.85,0.89,1.52,206,0.93,1,0.0,0.0
2016-01-04 05:00:00+01:00,277200,1451880000,2016-01-04 04:00:00,2.56,1.37,996.55,0.85,1.43,216,0.92,1,0.0,0.0
2016-01-04 06:00:00+01:00,280800,1451883600,2016-01-04 05:00:00,2.67,1.72,996.47,0.85,1.25,211,0.93,1,0.0,0.0
2016-01-04 07:00:00+01:00,284400,1451887200,2016-01-04 06:00:00,3.14,1.96,996.18,0.77,1.33,206,0.92,1,0.0,0.0
2016-01-04 08:00:00+01:00,288000,1451890800,2016-01-04 07:00:00,3.57,2.27,996.12,0.85,1.01,223,0.91,1,0.0,
2016-01-04 09:00:00+01:00,291600,1451894400,2016-01-04 08:00:00,3.9,2.27,996.64,0.68,2.41,276,0.89,1,11.859345909363586,46.812890851290746
2016-01-04 10:00:00+01:00,295200,1451898000,2016-01-04 09:00:00,3.53,2.3,997.27,0.86,2.38,266,0.92,1,17.93208095015745,84.4236170482057
2016-01-04 11:00:00+01:00,298800,1451901600,2016-01-04 10:00:00,3.78,2.38,997.46,0.75,2.53,234,0.91,1,51.58428932565346,137.3583104664609
2016-01-04 12:00:00+01:00,302400,1451905200,2016-01-04 11:00:00,4.43,2.99,997.24,0.75,1.56,252,0.9,1,62.42322478767399,159.53346680252076
2016-01-04 13:00:00+01:00,306000,1451908800,2016-01-04 12:00:00,5.08,3.42,996.79,0.88,1.69,238,0.89,1,30.011565857119063,138.6895196481952
2016-01-04 14:00:00+01:00,309600,1451912400,2016-01-04 13:00:00,4.93,3.29,996.76,0.85,1.91,245,0.89,1,31.12210001752606,124.19498350204839
2016-01-04 15:00:00+01:00,313200,1451916000,2016-01-04 14:00:00,4.9,3.18,996.59,0.78,1.81,230,0.89,1,28.54167578089763,94.17696905930924
2016-01-04 16:00:00+01:00,316800,1451919600,2016-01-04 15:00:00,5.01,3.13,996.88,0.74,1.6,222,0.88,1,10.027823104497605,44.95818944887192
2016-01-04 17:00:00+01:00,320400,1451923200,2016-01-04 16:00:00,4.74,2.99,997.14,0.75,1.35,203,0.88,1,0.0,0.11096491829776828
2016-01-04 18:00:00+01:00,324000,1451926800,2016-01-04 17:00:00,4.47,2.76,997.35,0.5,1.35,213,0.89,1,0.0,0.0
2016-01-04 19:00:00+01:00,327600,1451930400,2016-01-04 18:00:00,4.64,2.88,997.52,0.86,1.42,242,0.88,1,0.0,0.0
2016-01-04 20:00:00+01:00,331200,1451934000,2016-01-04 19:00:00,3.95,2.41,997.67,0.6,0.99,206,0.9,1,0.0,0.0
2016-01-04 21:00:00+01:00,334800,1451937600,2016-01-04 20:00:00,3.37,1.87,997.95,0.41,0.58,201,0.9,1,0.0,0.0
2016-01-04 22:00:00+01:00,338400,1451941200,2016-01-04 21:00:00,2.42,1.54,998.33,0.54,0.56,174,0.94,1,0.0,0.0
2016-01-04 23:00:00+01:00,342000,1451944800,2016-01-04 22:00:00,2.43,1.47,998.14,0.88,0.97,141,0.93,1,0.0,0.0
2016-01-05 00:00:00+01:00,345600,1451948400,2016-01-04 23:00:00,2.1,1.24,997.81,0.78,0.92,131,0.94,1,0.0,0.0
2016-01-05 01:00:00+01:00,349200,1451952000,2016-01-05 00:00:00,2.26,1.42,997.56,0.8,0.82,140,0.94,1,0.0,0.0
2016-01-05 02:00:00+01:00,352800,1451955600,2016-01-05 01:00:00,2.73,1.82,997.04,0.88,0.97,148,0.94,1,0.0,0.0
2016-01-05 03:00:00+01:00,356400,1451959200,2016-01-05 02:00:00,3.0,1.97,997.05,0.88,0.64,128,0.93,1,0.0,0.0
2016-01-05 04:00:00+01:00,360000,1451962800,2016-01-05 03:00:00,3.14,2.29,997.06,0.89,0.58,180,0.94,1,0.0,0.0
2016-01-05 05:00:00+01:00,363600,1451966400,2016-01-05 04:00:00,3.38,2.51,997.11,0.85,0.59,153,0.94,1,0.0,0.0
2016-01-05 06:00:00+01:00,367200,1451970000,2016-01-05 05:00:00,3.61,2.66,997.15,0.88,1.1,182,0.93,1,0.0,0.0
2016-01-05 07:00:00+01:00,370800,1451973600,2016-01-05 06:00:00,3.67,2.54,997.7,0.8,1.27,184,0.92,1,0.0,0.0
2016-01-05 08:00:00+01:00,374400,1451977200,2016-01-05 07:00:00,3.59,2.22,998.44,0.75,1.69,206,0.91,1,0.0,
2016-01-05 09:00:00+01:00,378000,1451980800,2016-01-05 08:00:00,3.84,2.43,998.85,0.63,1.57,202,0.91,1,13.823169120214121,49.08288286037224
2016-01-05 10:00:00+01:00,381600,1451984400,2016-01-05 09:00:00,4.61,2.85,998.79,0.59,1.06,184,0.88,1,52.8016671143937,106.95267380252278
2016-01-05 11:00:00+01:00,385200,1451988000,2016-01-05 10:00:00,5.53,3.29,999.11,0.49,0.82,190,0.85,1,105.79810540347522,152.39648326748954
2016-01-05 12:00:00+01:00,388800,1451991600,2016-01-05 11:00:00,5.94,3.11,998.96,0.75,1.82,254,0.82,1,62.80027722670771,160.37795073148627
2016-01-05 13:00:00+01:00,392400,1451995200,2016-01-05 12:00:00,6.72,3.18,998.21,0.6,1.76,257,0.78,1,100.77809387532251,173.86238661675048
2016-01-05 14:00:00+01:00,396000,1451998800,2016-01-05 13:00:00,7.23,2.74,998.0,0.75,1.82,245,0.73,1,52.389052106925355,139.09117461598004
2016-01-05 15:00:00+01:00,399600,1452002400,2016-01-05 14:00:00,7.2,2.76,997.86,0.53,1.76,238,0.73,1,61.95824263563509,110.53433793353659
2016-01-05 16:00:00+01:00,403200,1452006000,2016-01-05 15:00:00,7.22,2.89,997.99,0.65,1.15,226,0.74,1,14.054344436928028,50.23146772861755
2016-01-05 17:00:00+01:00,406800,1452009600,2016-01-05 16:00:00,5.95,2.47,998.72,0.51,0.76,207,0.78,1,0.0,1.0892059347150793
2016-01-05 18:00:00+01:00,410400,1452013200,2016-01-05 17:00:00,4.75,2.18,999.23,0.53,1.13,161,0.83,1,0.0,0.0
2016-01-05 19:00:00+01:00,414000,1452016800,2016-01-05 18:00:00,4.71,2.16,999.72,0.75,1.11,186,0.83,1,0.0,0.0
2016-01-05 20:00:00+01:00,417600,1452020400,2016-01-05 19:00:00,4.22,1.93,1000.18,0.75,0.81,172,0.85,1,0.0,0.0
2016-01-05 21:00:00+01:00,421200,1452024000,2016-01-05 20:00:00,4.03,1.87,1000.39,0.78,1.38,156,0.86,1,0.0,0.0
2016-01-05 22:00:00+01:00,424800,1452027600,2016-01-05 21:00:00,4.02,1.62,1000.79,0.82,0.9,220,0.84,1,0.0,0.0
2016-01-05 23:00:00+01:00,428400,1452031200,2016-01-05 22:00:00,4.09,1.83,1000.88,0.85,0.6,181,0.85,1,0.0,0.0
2016-01-06 00:00:00+01:00,432000,1452034800,2016-01-05 23:00:00,3.39,1.08,1022.43,0.75,0.28,243,0.85,1,0.0,0.0
2016-01-06 01:00:00+01:00,435600,1452038400,2016-01-06 00:00:00,3.66,1.46,1001.24,0.85,1.37,222,0.86,1,0.0,0.0
2016-01-06 02:00:00+01:00,439200,1452042000,2016-01-06 01:00:00,2.81,1.27,1001.32,0.75,0.23,118,0.9,1,0.0,0.0
2016-01-06 03:00:00+01:00,442800,1452045600,2016-01-06 02:00:00,3.16,1.57,1001.74,0.85,0.37,259,0.89,1,0.0,0.0
2016-01-06 04:00:00+01:00,446400,1452049200,2016-01-06 03:00:00,2.98,1.87,1001.7,0.89,0.33,166,0.92,1,0.0,0.0
2016-01-06 05:00:00+01:00,450000,1452052800,2016-01-06 04:00:00,2.61,1.52,1001.6,0.85,0.13,148,0.93,1,0.0,0.0
2016-01-06 06:00:00+01:00,453600,1452056400,2016-01-06 05:00:00,2.48,1.45,1001.65,0.78,0.44,157,0.93,1,0.0,0.0
2016-01-06 07:00:00+01:00,457200,1452060000,2016-01-06 06:00:00,2.3,1.16,1001.72,0.86,0.67,147,0.92,1,0.0,0.0
2016-01-06 08:00:00+01:00,460800,1452063600,2016-01-06 07:00:00,2.38,1.03,1001.77,0.75,0.99,141,0.91,1,0.0,
2016-01-06 09:00:00+01:00,464400,1452067200,2016-01-06 08:00:00,2.61,1.06,1001.99,0.85,0.72,143,0.9,1,5.660413081730715,38.03432006248176
